Time	X	dW
431.3	-2.38921	-0.10159
431.4	-2.56995	0.22149
431.5	-2.67886	0.2874
431.6	-2.28938	0.24914
431.7	-2.76609	0.37319
431.8	-1.07074	-0.09778
431.9	-1.76801	-0.30582
432	-0.868281	-0.20577
432.1	-1.54906	-0.34913
432.2	0.0534652	0.11872
432.3	-1.25022	-0.3798
432.4	-1.24873	0.38732
432.5	-0.255635	0.31824
432.6	1.17892	0.15174
432.7	0.113449	-0.36382
432.8	-0.776428	-0.47388
432.9	1.56991	0.24745
433	2.3176	0.12539
433.1	2.51571	0.13616
433.2	2.30655	0.2522
433.3	2.71527	0.20087
433.4	1.01097	-0.47415
433.5	3.10928	0.09689
433.6	2.97235	0.25732
433.7	3.18054	0.01594
433.8	2.18752	-0.45753
433.9	3.1775	0.26505
434	3.0926	0.36164
434.1	3.04982	0.18879
434.2	2.96875	0.21268
434.3	3.11762	-0.41707
434.4	3.13074	-0.42638
434.5	3.0108	0.35111
434.6	1.98218	0.10039
434.7	1.66689	0.04056
434.8	1.41187	0.07622
434.9	1.14024	0.08108
435	2.72968	0.44212
435.1	2.15071	0.38675
435.2	0.819206	-0.20325
435.3	1.15702	-0.29261
435.4	-0.17811	0.16216
435.5	1.65399	-0.40784
435.6	-0.706701	0.18231
435.7	-1.31634	0.08456
435.8	1.17289	0.47888
435.9	-1.25406	0.2469
436	-2.14682	-0.02852
436.1	-1.37963	0.31233
436.2	-2.51425	-0.08345
436.3	-0.376898	-0.44673
436.4	-2.49669	0.23614
436.5	-2.97175	0.09887
436.6	-2.80646	-0.24422
436.7	-3.14839	-0.08269
436.8	-3.15944	-0.0328
436.9	-2.04215	0.47116
437	-2.93487	-0.36066
437.1	-3.15587	-0.31111
437.2	-2.93856	0.03176
437.3	-2.81912	0.46573
437.4	-3.03141	0.25167
437.5	-2.92253	0.24159
437.6	-3.04858	0.33448
437.7	-2.16415	0.10612
437.8	-3.15465	0.46671
437.9	-2.75948	-0.36791
438	-2.60703	-0.37407
438.1	-1.16877	-0.15393
438.2	-1.95921	-0.34231
438.3	-0.485161	-0.13296
438.4	-1.41848	-0.34108
438.5	-0.376606	-0.23905
438.6	-2.31891	-0.49574
438.7	0.342076	-0.22338
438.8	-0.898835	-0.40954
438.9	-0.92396	0.41709
439	1.78721	0.05619
439.1	2.00872	-0.0832
439.2	1.82639	-0.21223
439.3	2.06056	0.21901
439.4	0.762163	-0.42321
439.5	0.139949	0.48394
439.6	2.46558	-0.26458
439.7	2.45585	0.31656
439.8	2.96928	0.22072
439.9	2.07114	0.42756
440	3.15782	-0.09163
440.1	3.14702	0.00127
440.2	3.16432	0.23771
440.3	3.06992	0.38164
440.4	3.15348	-0.29012
440.5	2.72583	0.05512
440.6	2.55697	-0.05064
440.7	2.33123	0.02165
440.8	2.37102	-0.15061
440.9	2.94919	-0.34067
441	1.62023	-0.04352
441.1	1.66111	0.18793
441.2	2.01337	-0.26951
441.3	0.801595	0.10347
441.4	1.20255	0.26407
441.5	0.20724	-0.08324
441.6	-0.244143	-0.00536
441.7	-0.544832	0.05081
441.8	2.40588	-0.48831
441.9	-1.1096	0.08137
442	-1.21108	0.14912
442.1	-1.70028	-0.04947
442.2	-1.83507	0.12247
442.3	-1.14612	-0.2927
442.4	-2.27681	-0.1259
442.5	-0.28941	-0.43223
442.6	-1.17342	-0.38565
442.7	-2.07444	0.32935
442.8	-2.94577	-0.13696
442.9	-2.88729	0.23048
443	-3.01925	-0.22149
443.1	-2.14619	-0.42817
443.2	-2.85045	0.35098
443.3	-3.11845	0.04449
443.4	-3.13368	0.19812
443.5	-3.17353	0.30591
443.6	-2.76698	-0.05055
443.7	-3.1548	0.39419
443.8	-2.59497	0.14183
443.9	-3.04815	-0.49891
444	-2.21461	0.15055
444.1	-1.99874	-0.1756
444.2	-3.12064	-0.46429
444.3	-2.40956	-0.34573
444.4	-0.828969	-0.0508
444.5	-0.833891	-0.16468
444.6	-0.295855	0.08019
444.7	-0.833425	-0.27206
444.8	-0.360529	0.22988
444.9	0.519552	-0.138
445	0.963608	0.08057
445.1	0.870142	0.18657
445.2	0.489481	0.2872
445.3	1.66423	0.14152
445.4	1.54261	-0.2295
445.5	1.36764	-0.30036
445.6	2.28599	0.1762
445.7	2.72118	-0.054
445.8	2.87578	0.0179
445.9	2.83758	-0.16924
446	3.07437	0.05229
446.1	2.08178	0.40391
446.2	3.13358	-0.1347
446.3	2.93455	0.3313
446.4	3.12805	0.09526
446.5	3.10694	-0.1008
446.6	3.15445	0.26741
446.7	3.02179	0.2022
446.8	2.90281	-0.45752
446.9	3.1735	0.42096
447	3.06429	-0.46405
447.1	3.06042	-0.35096
447.2	3.09251	-0.39913
447.3	3.18241	0.49531
447.4	1.35111	0.1212
447.5	0.941669	-0.01988
447.6	0.747797	0.1172
447.7	1.39786	-0.26493
447.8	0.31607	0.16967
447.9	0.660818	-0.24769
448	-0.0115177	-0.19719
448.1	1.96801	0.48272
448.2	-1.18263	-0.06112
448.3	-1.48668	0.07476
448.4	-0.407475	-0.31166
448.5	-0.736999	-0.31108
448.6	0.31308	0.46369
448.7	-2.44488	-0.0781
448.8	0.0043514	-0.45743
448.9	-0.569895	0.46559
449	-2.9014	0.09574
449.1	-2.97683	-0.14832
449.2	-2.73795	0.28133
449.3	-2.09236	0.42239
449.4	-3.09799	0.22089
449.5	-3.17081	-0.11593
449.6	-2.46991	-0.44628
449.7	-2.37426	-0.48101
449.8	-2.86263	-0.0269
449.9	-2.82613	0.10654
450	-3.1065	-0.43417
450.1	-3.0235	-0.31375
450.2	-2.11508	0.00939
450.3	-1.93716	0.05955
450.4	-2.91324	0.36623
450.5	-1.92529	-0.23095
450.6	-1.13033	0.0769
450.7	-0.731913	-0.02351
450.8	-0.867987	0.16983
450.9	-0.101842	-0.02207
451	0.030911	-0.1228
451.1	-1.06722	0.32471
451.2	-0.810324	-0.35136
451.3	-1.562	0.42928
451.4	-0.322008	-0.36375
451.5	0.882674	-0.25663
451.6	0.52145	-0.33935
451.7	2.12176	0.09469
451.8	2.41007	0.03052
451.9	-0.13643	0.46314
452	2.47235	-0.18998
452.1	1.72833	0.36061
452.2	2.9795	0.10492
452.3	3.11717	0.02671
452.4	1.64278	0.44925
452.5	1.49271	-0.48907
452.6	3.15712	-0.12323
452.7	3.12074	-0.28009
452.8	3.13061	-0.18016
452.9	3.17119	0.27688
453	2.89337	-0.43892
453.1	2.80834	0.1746
453.2	2.51745	-0.09191
453.3	2.52003	0.1969
453.4	3.16934	0.46742
453.5	2.00623	-0.14079
453.6	2.82907	-0.35801
453.7	1.142	0.00953
453.8	2.63847	0.41353
453.9	2.86309	0.47286
454	2.35241	0.42838
454.1	0.239179	0.1695
454.2	2.1742	-0.42328
454.3	2.55427	-0.48742
454.4	-0.213702	0.25532
454.5	0.746019	-0.3661
454.6	-1.53376	-0.0689
454.7	0.85274	-0.4278
454.8	-1.44031	-0.22991
454.9	-1.43917	-0.27286
455	-0.946647	-0.3597
455.1	-0.750079	-0.40461
455.2	-2.8635	-0.01309
455.3	-2.98316	0.05911
455.4	-3.06731	-0.0454
455.5	-3.14415	-0.06554
455.6	-3.15676	-0.06774
455.7	-2.95353	-0.31285
455.8	-3.11913	0.02793
455.9	-2.34191	0.47117
456	-2.7637	0.43474
456.1	-3.15883	0.27335
456.2	-2.93424	0.19211
456.3	-3.15946	-0.4184
456.4	-2.89045	0.26649
456.5	-2.15295	0.08071
456.6	-3.01801	0.37182
456.7	-3.16235	0.4577
456.8	-1.71545	0.18089
456.9	-0.978763	0.03331
457	-1.65715	-0.28629
457.1	-2.6267	0.42366
457.2	-2.93919	0.49881
457.3	-0.392698	0.20949
457.4	0.528109	-0.0859
457.5	-1.99252	0.44828
457.6	1.22275	-0.00042
457.7	0.717193	0.23611
457.8	0.663287	-0.29507
457.9	-0.222501	-0.41652
458	2.26188	-0.00411
458.1	1.2083	0.32808
458.2	2.13302	-0.23411
458.3	2.82052	0.04814
458.4	2.91464	-0.06384
458.5	3.05509	-0.03496
458.6	2.87255	-0.22768
458.7	3.16674	-0.05219
458.8	3.16087	0.12906
458.9	3.17389	-0.1126
459	2.00218	-0.48959
459.1	2.69673	-0.43101
459.2	2.70341	-0.45206
459.3	3.18062	0.33851
459.4	2.95011	-0.22348
459.5	2.86077	-0.49608
459.6	2.27063	0.13344
459.7	1.90555	0.04122
459.8	1.76553	-0.08987
459.9	3.16917	-0.47887
460	1.14719	-0.06677
460.1	0.754738	0.01045
460.2	1.46973	0.29024
460.3	0.423385	-0.1269
460.4	2.18618	-0.40368
460.5	2.32483	0.47741
460.6	-0.7521	0.07935
460.7	1.50634	-0.41157
460.8	-1.23765	-0.10315
460.9	-1.52801	0.12184
461	-1.7521	-0.11919
461.1	-0.434103	0.37973
461.2	-2.38482	-0.03506
461.3	-1.92819	-0.25191
461.4	-2.71858	-0.07543
461.5	-0.457725	-0.45481
461.6	-2.17791	0.33282
461.7	-1.622	0.42922
461.8	-3.11298	-0.12639
461.9	-3.15296	0.15365
462	-3.1472	-0.02545
462.1	-3.17439	0.17099
462.2	-3.15584	-0.28964
462.3	-3.1175	0.19803
462.4	-3.10943	0.25385
462.5	-3.17309	0.34785
462.6	-2.51759	0.08758
462.7	-2.4366	-0.15393
462.8	-2.03801	0.06126
462.9	-3.16374	-0.44208
463	-1.90343	0.17963
463.1	-2.3234	-0.31893
463.2	-1.71887	-0.26416
463.3	-0.617722	-0.07345
463.4	-2.70935	0.44134
463.5	-2.23144	-0.4254
463.6	0.307307	0.06925
463.7	0.238246	0.17141
463.8	-0.929398	-0.37533
463.9	1.21836	0.07817
464	-1.60236	-0.48622
464.1	1.04176	0.24514
464.2	0.820993	-0.31946
464.3	1.91698	-0.19454
464.4	-0.421054	-0.48483
464.5	0.545643	0.42067
464.6	2.68296	-0.14822
464.7	2.77619	-0.18033
464.8	1.72211	0.39945
464.9	2.13795	0.38466
465	1.74045	0.44809
465.1	3.04572	0.28214
465.2	3.12069	-0.24466
465.3	3.15788	-0.16172
465.4	2.22545	0.49677
465.5	3.17136	0.35137
465.6	2.72182	0.08946
465.7	2.85963	-0.47737
465.8	2.95587	0.30449
465.9	3.08807	-0.4702
466	1.88139	0.0919
466.1	1.90638	0.18429
466.2	3.02464	-0.4142
466.3	1.80151	-0.23097
466.4	0.773759	0.10392
466.5	0.412688	0.07773
466.6	2.53722	0.45873
466.7	1.64997	-0.34972
466.8	-0.568083	0.05395
466.9	-0.3193	0.21312
467	-1.11249	0.08889
467.1	1.1622	0.44524
467.2	-1.03138	0.24406
467.3	-1.10803	0.27605
467.4	-2.23914	-0.01526
467.5	-2.38941	0.09356
467.6	-2.42964	-0.15213
467.7	-1.88171	-0.30447
467.8	-2.68451	0.19253
467.9	-3.0491	0.03434
468	-0.906181	0.49396
468.1	-3.09817	-0.18111
468.2	-3.15919	0.00584
468.3	-3.07693	0.27601
468.4	-2.8783	-0.37206
468.5	-3.01919	-0.01332
468.6	-3.15108	0.31131
468.7	-3.02551	0.20169
468.8	-3.09442	0.2905
468.9	-2.50619	0.09983
469	-2.17129	-0.05304
469.1	-3.15256	0.40663
469.2	-3.112	0.49621
469.3	-2.93711	-0.40119
469.4	-1.68111	-0.22275
469.5	-1.75276	0.25496
469.6	-0.735299	-0.14494
469.7	-0.155438	-0.00511
469.8	-2.637	-0.47773
469.9	-1.39694	0.34711
470	0.201312	-0.20666
470.1	-2.44094	0.49828
470.2	0.0723203	-0.3087
470.3	1.15389	0.19152
470.4	1.69166	0.13524
470.5	-0.00798548	0.39115
470.6	1.85762	0.21774
470.7	2.58707	0.02823
470.8	1.68561	0.32072
470.9	2.62241	0.20157
471	2.93214	0.1268
471.1	2.97083	0.18503
471.2	2.40695	-0.34807
471.3	1.79065	-0.44861
471.4	2.68114	0.37373
471.5	3.11764	0.2949
471.6	3.15656	-0.23102
471.7	3.0779	0.17886
471.8	2.55312	-0.47912
471.9	2.73083	-0.08309
472	2.98263	0.28404
472.1	2.97344	-0.48047
472.2	2.24692	-0.13224
472.3	1.84072	-0.06504
472.4	1.69738	-0.11457
472.5	3.01904	-0.41276
472.6	3.13318	-0.48069
472.7	0.620224	-0.03395
472.8	1.96826	0.36849
472.9	2.20125	0.42196
473	0.471339	0.2517
473.1	-0.540053	-0.08486
473.2	-0.705082	0.15017
473.3	1.02321	-0.37849
473.4	-1.23731	0.16418
473.5	-1.19275	-0.2105
473.6	-2.008	0.0819
473.7	-1.71074	0.2351
473.8	-1.31682	-0.3104
473.9	-2.61506	0.10436
474	-2.1507	0.28215
474.1	-2.9244	-0.10392
474.2	-2.98089	-0.13737
474.3	-2.03921	0.39334
474.4	-1.83695	0.43965
474.5	-3.11619	-0.23257
474.6	-3.12696	-0.02728
474.7	-2.90964	0.36927
474.8	-3.00316	-0.08833
474.9	-3.07897	-0.38611
475	-2.77586	0.09299
475.1	-2.68028	0.11909
475.2	-2.56264	0.15042
475.3	-2.60939	0.21367
475.4	-2.93252	0.33501
475.5	-1.73683	-0.11876
475.6	-1.62736	-0.16881
475.7	-2.72281	-0.39364
475.8	-1.21413	-0.20051
475.9	-0.42949	-0.06289
476	-1.34835	0.28519
476.1	-1.04461	-0.30375
476.2	0.0529413	0.17657
476.3	-0.938072	0.33728
476.4	0.682041	0.17838
476.5	-1.1081	0.40691
476.6	-1.48432	0.4608
476.7	1.70969	0.15166
476.8	1.26329	-0.2801
476.9	2.43013	0.04968
477	1.63718	0.30006
477.1	2.16949	-0.25966
477.2	2.64151	-0.19363
477.3	2.81311	0.20803
477.4	3.05453	0.13284
477.5	2.83108	-0.2744
477.6	2.71803	-0.33038
477.7	3.09959	0.27502
477.8	3.09815	0.06425
477.9	3.17937	0.24829
478	3.1405	-0.3141
478.1	2.72981	-0.45975
478.2	3.1144	-0.38983
478.3	2.45957	-0.05692
478.4	3.03698	-0.31844
478.5	2.80204	0.31099
478.6	2.12042	0.20928
478.7	3.17105	0.474
478.8	1.66487	0.21962
478.9	2.88338	-0.4116
479	0.963759	-0.16207
479.1	0.191877	0.04087
479.2	2.88705	-0.48169
479.3	2.43888	0.47576
479.4	1.06443	-0.33226
479.5	-1.06903	0.00169
479.6	-1.30948	0.06758
479.7	-1.62471	0.04583
479.8	-1.27063	0.22745
479.9	-0.394148	-0.34525
480	0.905824	-0.4683
480.1	-1.0907	-0.34023
480.2	-1.23973	-0.35483
480.3	-2.59402	-0.19652
480.4	-0.659772	0.47412
480.5	-2.54028	0.2955
480.6	-3.12643	0.0567
480.7	-2.92858	-0.27944
480.8	-3.15174	-0.1893
480.9	-2.68599	0.39034
481	-3.04766	-0.04628
481.1	-3.00993	0.08984
481.2	-3.14695	0.27934
481.3	-2.6712	0.00925
481.4	-3.05334	-0.44495
481.5	-2.94872	0.27595
481.6	-2.96138	0.31859
481.7	-3.08007	0.49603
481.8	-2.41791	-0.28867
481.9	-1.6481	-0.18671
482	-3.10597	-0.47725
482.1	-0.818775	0.10723
482.2	-0.441183	-0.10686
482.3	-0.55967	0.18503
482.4	0.294382	0.04607
482.5	-1.66418	0.38398
482.6	0.822932	0.08991
482.7	1.12715	0.09171
482.8	0.666978	0.2407
482.9	-1.32454	0.45122
483	2.02584	-0.04799
483.1	0.796969	0.33228
483.2	2.47989	0.03885
483.3	1.57468	-0.31837
483.4	2.57215	-0.17468
483.5	2.80562	-0.15461
483.6	2.95071	0.15588
483.7	2.0736	0.37923
483.8	3.1536	-0.00913
483.9	2.73304	-0.33648
484	3.13887	0.24599
484.1	3.17597	-0.21501
484.2	2.20484	-0.48055
484.3	2.39333	0.48972
484.4	2.87934	0.16807
484.5	2.68899	-0.48958
484.6	2.33235	0.00858
484.7	2.42833	-0.15182
484.8	2.75094	-0.27942
484.9	2.426	-0.24634
485	3.17339	0.49249
485.1	2.60488	0.37523
485.2	3.09155	0.49127
485.3	1.58982	-0.26713
485.4	0.981727	0.25823
485.5	1.84419	-0.35855
485.6	0.0633141	0.2117
485.7	-0.680542	-0.09441
485.8	2.17214	-0.46306
485.9	0.952696	-0.38208
486	0.764606	0.42382
486.1	1.22484	-0.45041
486.2	-1.57302	0.23378
486.3	-2.39152	0.06661
486.4	-0.636189	-0.38458
486.5	-2.695	0.11105
486.6	-2.8885	0.06001
486.7	-2.42919	-0.28345
486.8	-3.08481	0.05859
486.9	-1.89756	0.41763
487	-3.04198	0.23254
487.1	-3.17419	-0.09139
487.2	-1.91475	0.48386
487.3	-3.05793	0.33825
487.4	-2.84612	-0.4183
487.5	-3.09504	-0.24151
487.6	-2.6268	0.04366
487.7	-3.16995	-0.35978
487.8	-2.35495	-0.13277
487.9	-2.27036	-0.17169
488	-3.09905	0.48823
488.1	-2.49795	-0.30807
488.2	-2.10177	0.26009
488.3	-0.845749	-0.03179
488.4	-1.70559	0.2757
488.5	-2.6028	0.41592
488.6	0.0302713	-0.07819
488.7	-1.04133	-0.31798
488.8	-0.435339	0.26632
488.9	0.620453	-0.17262
489	-0.944059	-0.39664
489.1	-0.950577	0.40266
489.2	1.59226	0.14597
489.3	1.8109	0.16108
489.4	-1.17551	0.48636
489.5	-0.585668	0.46759
489.6	1.66381	0.31133
489.7	2.78919	0.12167
489.8	2.83905	-0.1483
489.9	1.11516	-0.44838
490	3.11247	-0.07683
490.1	3.17248	0.10122
490.2	1.86792	0.45102
490.3	1.93834	-0.46689
490.4	2.1671	-0.46578
490.5	3.11236	-0.16813
490.6	3.09576	-0.35583
490.7	2.78237	0.12714
490.8	2.49046	0.04797
490.9	2.31931	-0.03726
491	3.1228	0.46934
491.1	2.15108	0.18496
491.2	2.31057	-0.23668
491.3	1.57273	-0.13584
491.4	1.72333	0.25214
491.5	0.641133	0.02777
491.6	0.578186	-0.11396
491.7	0.0951581	0.08883
491.8	2.54333	0.47207
491.9	2.76322	-0.48722
492	-0.81278	-0.07735
492.1	0.284273	-0.29939
492.2	1.06386	0.428
492.3	-1.73973	0.06922
492.4	-2.00806	-0.04065
492.5	-0.67579	-0.33178
492.6	-1.20363	0.32937
492.7	-2.57151	-0.10533
492.8	-0.407399	0.45445
492.9	-2.36999	0.27114
493	-0.399284	0.4984
493.1	-1.74284	-0.39908
493.2	-3.12579	-0.13369
493.3	-2.92664	0.29159
493.4	-3.14078	-0.23108
493.5	-2.30922	0.44843
493.6	-2.98987	0.00221
493.7	-2.97212	0.10749
493.8	-2.72695	0.00475
493.9	-3.16033	0.32204
494	-3.14573	0.35402
494.1	-2.22843	-0.09596
494.2	-1.97611	-0.09579
494.3	-3.15802	-0.43323
494.4	-2.36747	-0.29583
494.5	-2.65011	-0.36969
494.6	-1.24907	-0.19339
494.7	-2.97441	-0.47152
494.8	-0.744212	0.19062
494.9	0.100416	0.06971
495	-1.62922	0.36485
495.1	-0.778712	0.3101
495.2	-0.363257	0.30081
495.3	0.010422	-0.31045
495.4	1.21842	-0.18567
495.5	1.95204	0.014
495.6	-0.0694684	-0.40399
495.7	2.41074	0.02254
495.8	2.45747	-0.1161
495.9	2.28405	-0.22588
496	2.87642	0.07129
496.1	2.20347	0.31702
496.2	1.59911	0.40689
496.3	1.72355	0.42089
496.4	3.09651	0.21056
496.5	3.16997	-0.04483
496.6	3.16209	0.23161
496.7	3.15349	-0.17212
496.8	2.21521	-0.48484
496.9	3.17043	-0.28529
497	3.05655	0.27103
497.1	2.45568	-0.02012
497.2	2.35907	-0.09999
497.3	3.13063	-0.36866
497.4	1.90299	0.13587
497.5	1.5661	-0.07286
497.6	1.15803	0.00293
497.7	3.16766	-0.49208
497.8	1.94805	-0.2958
497.9	0.775751	-0.16983
498	1.0084	0.28002
498.1	1.42252	0.35896
498.2	1.45329	0.39057
498.3	1.83093	0.44909
498.4	-1.28485	0.04734
498.5	-1.50514	0.08833
498.6	-1.83084	-0.03484
498.7	-2.10497	-0.01702
498.8	-1.92975	0.18922
498.9	-0.789584	0.37734
499	-0.482303	0.42885
499.1	0.327783	-0.48038
499.2	-1.30102	0.40826
499.3	-2.55079	0.28164
499.4	-2.9082	-0.22935
499.5	-3.08759	0.19275
499.6	-1.97394	0.44038
499.7	-2.37037	0.42191
499.8	-2.93589	-0.35846
499.9	-3.00227	-0.07265
500	-3.01505	0.385
